Count,Values,Labels,Misc,CPU-usage,Values-2,Units
0.704986469,0,minor-faults,100684576,100,0,K/sec
0.704986469,0,page-faults,100684107,100,0,K/sec
0.704986469,100.218136,task-clock,100683666,100,,
0.704986469,11879,L1-dcache-load-misses,23705623,23.55,0.01,of all L1-dcache hits
0.704986469,229488705,L1-dcache-loads,20848810,20.71,2279.268,M/sec
0.704986469,<not counted>,L1-dcache-stores,6857449,6.81,,
0.704986469,1235,L1-icache-load-misses,6857635,6.81,,
0.704986469,368,LLC-load-misses,6856613,6.81,28.42,of all LL-cache hits
0.704986469,381,LLC-loads,10285700,10.22,0.004,M/sec
0.704986469,0,LLC-store-misses,6857962,6.81,0,K/sec
0.704986469,0,LLC-stores,6856898,6.81,0,K/sec
0.704986469,23801,branch-load-misses,10284978,10.22,0.236,M/sec
0.704986469,150169535,branch-loads,13713730,13.62,1491.475,M/sec
0.704986469,0,dTLB-load-misses,13713413,13.62,0,of all dTLB cache hits
0.704986469,229896334,dTLB-loads,11428347,11.35,2283.317,M/sec
0.704986469,0,dTLB-store-misses,6857067,6.81,0,K/sec
0.704986469,119995349,dTLB-stores,6857404,6.81,1191.787,M/sec
0.704986469,0,iTLB-load-misses,6857330,6.81,0,of all iTLB cache hits
0.704986469,0,iTLB-loads,6857330,6.81,0,K/sec
0.704986469,0,node-load-misses,10285365,10.22,0,K/sec
0.704986469,0,node-loads,13714169,13.62,0,K/sec
0.704986469,0,node-store-misses,6857243,6.81,0,K/sec
0.704986469,0,node-stores,6856562,6.81,0,K/sec
0.805212149,150316508,branches,10869939,10.8,1493.791,M/sec
0.805212149,23870,branch-misses,14868672,14.78,0.02,of all branches
0.805212149,9983211,bus-cycles,15367769,15.27,99.21,M/sec
0.805212149,0,cache-misses,15867471,15.77,0,of all cache refs
0.805212149,2036,cache-references,16000037,15.9,0.02,M/sec
0.805212149,259474362,cycles,15765065,15.67,2.579,GHz
0.805212149,745373540,instructions,19265702,19.15,2.86,insn per cycle
0.805212149,259488887,ref-cycles,22765714,22.62,2578.707,M/sec
0.805212149,0,alignment-faults,100629873,100,0,K/sec
0.805212149,0,bpf-output,100629471,100,0,K/sec
0.805212149,0,context-switches,100629095,100,0,K/sec
0.805212149,100.223053,cpu-clock,100628750,100,,
0.805212149,0,cpu-migrations,100628371,100,0,K/sec
0.805212149,0,dummy,100628003,100,0,K/sec
0.805212149,0,emulation-faults,100627611,100,0,K/sec
0.805212149,0,major-faults,100627256,100,0,K/sec
0.805212149,0,minor-faults,100626905,100,0,K/sec
0.805212149,0,page-faults,100626500,100,0,K/sec
0.805212149,100.223309,task-clock,100626121,100,,
0.805212149,14213,L1-dcache-load-misses,22270811,22.13,0.01,of all L1-dcache hits
0.805212149,229624504,L1-dcache-loads,19770692,19.65,2281.926,M/sec
0.805212149,120034460,L1-dcache-stores,7000158,6.96,1192.859,M/sec
0.805212149,1365,L1-icache-load-misses,7000849,6.96,,
0.805212149,113,LLC-load-misses,6999203,6.96,9.74,of all LL-cache hits
0.805212149,217,LLC-loads,10499908,10.44,0.002,M/sec
0.805212149,0,LLC-store-misses,7000744,6.96,0,K/sec
0.805212149,25,LLC-stores,6999518,6.96,0.248,K/sec
0.805212149,23749,branch-load-misses,10499077,10.44,0.236,M/sec
0.805212149,150219504,branch-loads,13999607,13.91,1492.828,M/sec
0.805212149,6,dTLB-load-misses,13999173,13.91,0,of all dTLB cache hits
0.805212149,229781696,dTLB-loads,11999779,11.93,2283.488,M/sec
0.805212149,0,dTLB-store-misses,7000321,6.96,0,K/sec
0.805212149,120040124,dTLB-stores,7000215,6.96,1192.916,M/sec
0.805212149,0,iTLB-load-misses,6999752,6.96,0,of all iTLB cache hits
0.805212149,0,iTLB-loads,7000195,6.96,0,K/sec
0.805212149,0,node-load-misses,10499925,10.44,0,K/sec
0.805212149,0,node-loads,13999930,13.92,0,K/sec
0.805212149,0,node-store-misses,6999935,6.96,0,K/sec
0.805212149,0,node-stores,6999507,6.96,0,K/sec
0.905439762,150308039,branches,10995619,10.93,1494.36,M/sec
0.905439762,23817,branch-misses,14994313,14.91,0.02,of all branches
0.905439762,9984794,bus-cycles,15254387,15.17,99.269,M/sec
0.905439762,184,cache-misses,15254550,15.17,16.006,of all cache refs
0.905439762,868,cache-references,14928165,14.84,0.009,M/sec
0.905439762,259649069,cycles,14483801,14.4,2.581,GHz
0.905439762,743149333,instructions,18039797,17.94,2.85,insn per cycle
